n,iters,times,status
2,3,0.004981040954589844,0
3,5,0.00500178337097168,0
4,7,0.004001140594482422,0
5,11,0.009004831314086914,0
6,17,0.009003162384033203,0
7,27,0.009994745254516602,0
8,43,0.0370020866394043,0
9,69,0.0650017261505127,0
